,,,,,Type of Product,,,,,,,,,,,,,,,,,Product Display,,,,,,,Package Type,,,,,,,,
S/N,Latitude,Longitude,Type of Outlet,Specify type of outlet,Type of Product (Combined Response),Coca-Cola,Pepsi,Bigi,RC Cola,7Up,Fanta,Sprite,La Casera,Schweppes,Fayrouz,Mirinda,Mountain Dew,Teem,American Cola,Others,Product Type - Others,Product Display (Combined Response),On shelf/carton,In refridgerator/cooler,On display stand,With consumer (actively being consumed),Others,Product Display - Others,Package Type Combined,PET bottle (50cl/1L),Glass bottle (35cl/60cl),Can (33cl),Others,Package Type - Others,Product with Higher shelf/refrigerator presence,Product with Higher shelf/refrigerator presence - Others,Stock condition
81,6.635031,3.255918,Hawking,,Coca-Cola Pepsi American Cola,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,Others,0,0,0,0,1,Hawking bowl,PET bottle (50cl/1L),1,0,0,0,,All equal,,Well stocked
82,6.672157,3.269444,Shop,,Bigi La Casera American Cola,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Others,Lacasera,Well stocked
83,6.671689,3.269802,Shop,,Coca-Cola Pepsi Bigi Fanta Schweppes American Cola,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Others,Fanta,Well stocked
84,6.635076,3.255974,Shop,,Coca-Cola Pepsi Fanta,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,In refridgerator/cooler,0,1,0,0,0,,PET bottle (50cl/1L) Glass bottle (35cl/60cl),1,1,0,0,,Coke,,Well stocked
85,6.63462,3.255697,Others,Consumer,American Cola,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,With consumer (actively being consumed),0,0,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,Others,America cola,Not Applicable
86,6.648122,3.298748,Shop,,Pepsi 7Up,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,On shelf/carton In refridgerator/cooler,1,1,0,0,0,,Glass bottle (35cl/60cl),0,1,0,0,,Pepsi,,Partially stocked
87,6.648598,3.299212,Shop,,Bigi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,On shelf/carton,1,0,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,Bigi,,Partially stocked
88,6.634953,3.25558,Shop,,Pepsi Teem American Cola,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,,In refridgerator/cooler,0,1,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,Others,American cola,Almost empty
89,6.634877,3.255622,Shop,,Pepsi Fanta Others,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,Bigi apple,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Well stocked
90,6.648945,3.30167,Shop,,Coca-Cola Pepsi Bigi 7Up Fanta,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,,On shelf/carton In refridgerator/cooler,1,1,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,Pepsi,,Partially stocked
91,6.63482,3.255637,Kiosk,,Coca-Cola,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,On shelf/carton,1,0,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,Coke,,Partially stocked
92,6.634689,3.255591,Shop,,Coca-Cola Pepsi Fanta Others,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,Bigi apple,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Well stocked
93,6.63463,3.255739,Kiosk,,Pepsi Fanta,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,Others,0,0,0,0,1,Inside basket,PET bottle (50cl/1L),1,0,0,0,,All equal,,Almost empty
94,6.63472,3.255678,Others,Consumer,Pepsi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,With consumer (actively being consumed),0,0,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,Pepsi,,Not Applicable
95,6.6353,3.254405,Open market stall,,Pepsi 7Up,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Pepsi,,Partially stocked
96,6.597861,3.293132,Shop,,Coca-Cola Fanta American Cola,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,On shelf/carton,1,0,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,Coke,,Well stocked
